SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v2,Axe,AlerteID,Nb_localites_affectes,Pop_affectee_menages,Pop_affectee_individus,Nature_choc_Catastrophe,Nature_choc_Violences,Nature_choc_Autre,Pop_affectee.Deplaces,Pop_affectee.Retours,Pop_affectee.Communaute_hote,Pop_affectee.Autre,Acces_humanitaire_Oui,Acces_humanitaire_Non_logistique,Acces_humanitaire_Non_securite,Acces_humanitaire_Non_autre,Continue_Investigation.Oui,Continue_Investigation.Non,Alerte_en_cours.Oui,Alerte_en_cours.Non,Code_Prefecture,Prefecture,Code_SousPréfecture,SousPrefecture,Code_Commune,Commune,Code_Arrondissement,Arrondissement,Longitude,Latitude,year,month
2125417957,14.04.2015,21.10.2014,21.10.2014,ACTED,Lebada,,ACTED_LEB_20141021,12,1549,7745,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Ouaka,,Bambari,,Pladama-Ouaka,,,20.544786,5.854284,2014,Octobre
951466354,26.02.2015,18.11.2014,17.02.2015,ACF,Bogbatoyo,,ACF_BOG_20141118,1,0,500,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Nana-Mambere,,Bouar,,Herman-Brousse,,,15.605226,6.299334,2014,Novembre
2028524849,02.04.2015,16.12.2014,08.03.2015,ACF,Bondiba,,ACF_BON_20141216,1,,,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Nana-Mambere,,Baboua,,Baboua,,,14.794725,5.535135,2014,Décembre
1190891277,06.04.2015,16.12.2014,28.02.2015,SI,Kaga-Bandoro,,SI_MBR_20141216,1,525,3150,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,,19.185733,6.992369,2014,Décembre
1430697248,15.06.2015,03.01.2015,03.01.2015,ACTED,Manoeuvre,,ACTED_MAN_20150103,1,,,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,,Basse-Kotto,,Zangba,,Yabongo,,,20.752234,4.433675,2015,Janvier
10343474,03.03.2015,12.01.2015,12.01.2015,ACTED,Ouazzoua,,ACTED_OUA_20150112,,,226,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Mbomou,,Ouango,,,,,22.418461,4.270408,2015,Janvier
451275810,21.03.2015,12.01.2015,12.01.2015,ACTED,Dimbi,,ACTED_DIM_20150112,,,18000,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Basse-Kotto,,Kembe,,Kembe,,,21.720280,4.624735,2015,Janvier
847776525,26.02.2015,12.01.2015,12.01.2015,ACTED,Kouango,,ACTED_KOU_20150112,1,0,0,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Non,,Ouaka,,Kouango,,Kouango,,,19.973607,4.992821,2015,Janvier
996289601,26.02.2015,13.01.2015,09.03.2015,SI,Kabo,,SI_KAB_20150113,1,352,1765,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Ouham,,Kabo,,Sido,,,18.629944,7.697565,2015,Janvier
2146681476,20.03.2015,17.01.2015,17.01.2015,DRC,Mbada,,DRC_MBA_20150302,1,273,1248,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Ouham,,Bouca,,Lady Gbawi,,,18.562368,6.865547,2015,Janvier
747969637,24.03.2015,23.01.2015,23.01.2015,ACF,Boyongo-Kette,,ACF_BOY_20150123,1,26,130,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Ouham,,Bossangoa,,Ndoro Mboli,,,17.362290,6.526361,2015,Janvier
39157073,01.04.2015,24.01.2015,24.01.2015,ACF,Kouki,,ACF_KOU_20150124,1,1400,7000,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Ouham,,Nana-Bakassa,,Nana-Bakassa,,,17.309082,7.166343,2015,Janvier
1256455824,24.03.2015,28.01.2015,28.01.2015,ACF,Bombere-Kota,,ACF_BOM_20150128,1,76,399,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Ouham,,Bossangoa,,Ben Zambe,,,17.548962,6.914322,2015,Janvier
1650863336,03.03.2015,04.02.2015,04.02.2015,ACF,Sabewa,,ACF_SAB_20150204,1,100,500,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Nana-Mambere,,Bouar,,Niem-Yelewa,,,14.982606,6.668017,2015,Février
914915208,26.02.2015,06.02.2015,06.02.2015,ACTED,Lihoto,,ACTED_LIH_20150206,,1600,1800,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Ouaka,,Kouango,,Azengue-Mindou,,,20.158370,5.312277,2015,Février
883365798,26.02.2015,08.02.2015,08.02.2015,ACTED,Ngakobo,,ACTED_NGA_20150208,,0,1000,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,,Ouaka,,Bambari,,Ngougbia,,,20.730846,5.339652,2015,Février
1448219181,06.04.2015,09.02.2015,09.02.2015,DRC,Bokaioua,,DRC_BOK_20150209,8,1128,9024,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Ouham,,Kabo,,Ouaki,,,18.538442,7.279787,2015,Février
770634371,26.02.2015,11.02.2015,13.04.2015,PU-AMI,Nassole,,PU_NAS_20150211,8,,,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Mambere-Kadei,,Berberati,,Ouakanga,,,15.375248,4.258509,2015,Février
2041379947,24.03.2015,12.02.2015,05.03.2015,DRC,Bebingui,,DRC_BEB_20150212,1,207,900,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Ouham Pende,,Paoua,,Mia-Pende,,,16.526000,7.814075,2015,Février
5582296,26.03.2015,13.02.2015,13.02.2015,PU-AMI,Ore,,PU_ORE_20150213,1,50,250,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,,Mambere-Kadei,,Gamboula,,Basse-Boumne,,,15.082169,4.364897,2015,Février
669751996,03.03.2015,13.02.2015,13.02.2015,PU-AMI,Dilapoko,,PU_DIL_20150213,1,35,200,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Mambere-Kadei,,Gamboula,,Basse-Boumne,,,15.091660,4.363720,2015,Février
1417911225,26.03.2015,13.02.2015,13.02.2015,PU-AMI,Amada Gaza,,PU_AMA_20150213,1,,,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Mambere-Kadei,,Amada-Gaza,,,,,15.209111,4.768658,2015,Février
1318087270,03.03.2015,17.02.2015,17.02.2015,ACTED,Mobaye - gp Mangbango,,ACTED_MOB_20150217,,558,4469,Non,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Basse-Kotto,,Mobaye,,Mobaye,,,21.176833,4.319708,2015,Février
820870656,24.03.2015,18.02.2015,18.02.2015,ACF,Gbabiro,,ACF_GBA_20150218,1,,,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Ouham,,Bossangoa,,Ben Zambe,,,17.697580,6.849218,2015,Février
1749632908,03.03.2015,20.02.2015,20.02.2015,ACF,Bofire,,ACF_GBB_20150220,3,243,1215,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Ouham,,Bossangoa,,Ben Zambe,,,17.766026,6.718610,2015,Février
881249679,26.02.2015,21.02.2015,21.02.2015,ACF,Besson,,ACF_BES_20150221,3,85,381,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,,Nana-Mambere,,Baboua,,Goudrot,,,14.816071,6.258945,2015,Février
1965494608,03.03.2015,21.02.2015,21.02.2015,ACF,Yongoro Mbolaye,,ACF_YON_20150221,1,1135,5675,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Nana-Mambere,,Bouar,,Herman-Brousse,,,15.586952,6.235382,2015,Février
1500159090,03.03.2015,23.02.2015,23.02.2015,ACF,Gbakara,,ACF_GBA_20150223,1,13,65,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Ouham,,Bossangoa,,Soumbe,,,17.641028,6.436505,2015,Février
97397017,27.03.2015,25.02.2015,25.02.2015,ACF,Sanguere,,DRC_SAN_20150225,,,,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui,Oui,Non,,Ouham Pende,,Koui,,Koui,,,15.092977,6.755639,2015,Février
842390040,26.02.2015,25.02.2015,25.02.2015,DRC,Bobani 2,,DRC_BOB_20150225,,0,0,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,,Ouham Pende,,Paoua,,Mom,,,16.592829,6.771083,2015,Février
1008409191,26.02.2015,25.02.2015,25.02.2015,DRC,Bocaranga,,DRC_BOC_20150225,1,0,0,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,,Ouham Pende,,Koui,,Koui,,,15.359947,6.580138,2015,Février
2134449430,02.04.2015,25.02.2015,25.02.2015,DRC,Bokambaye 1,,DRC_BOK_20150225,8,1128,9024,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Ouham,,Kabo,,Ouaki,,,18.481154,7.305997,2015,Février
1647061525,14.04.2015,27.02.2015,27.02.2015,ACTED,Derbissaka,,ACTED_DER_20150227,1,350,1750,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,,Mbomou,,Rafai,,Rafai,,,24.847812,5.774286,2015,Février
1327025326,24.03.2015,28.02.2015,18.03.2015,SI,Grivaï,,SI_DER_20150228,,,1846,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Nana-Gribizi,,Kaga-Bandoro,,Grivai-Pamia,,,19.437234,7.064233,2015,Février
1403033872,12.05.2015,01.03.2015,01.05.2015,ACF,Koui,,ACF_KOU_20150501,1,200,1000,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Ouham Pende,,Koui,,Koui,,,15.453221,6.951955,2015,Mars
627161354,23.03.2015,02.03.2015,10.04.2015,DRC,Batangafo,,DRC_BAT_20150302,7,986,7081,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Ouham,,Batangafo,,Batangafo,,,18.285135,7.300987,2015,Mars
2019055572,04.05.2015,02.03.2015,02.03.2015,DRC,Mbada,,DRC_MBA_20150110,1,,,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Ouham,,Bouca,,Lady Gbawi,,,18.562368,6.865547,2015,Mars
1339015537,26.03.2015,03.03.2015,03.03.2015,PU-AMI,Nao,,PU_NAO_20150303,1,20,,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Mambere-Kadei,,Berberati,,Ouakanga,,,15.318057,4.526812,2015,Mars
367573177,19.03.2015,05.03.2015,05.03.2015,ACF,Kaboro,,ACF_KAB_20150305,1,120,559,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Ouham,,Nana-Bakassa,,Nana-Bakassa,,,17.529444,6.970833,2015,Mars
892270109,20.03.2015,05.03.2015,05.03.2015,ACTED,Agoumar,,ACTED_AGO_20150305,,610,3050,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,,Mbomou,,Rafai,,Rafai,,,23.917023,4.993979,2015,Mars
1085341919,20.03.2015,05.03.2015,05.03.2015,ACTED,Ngoulinga,,ACTED_NGO_20150305,,,95,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Ouaka,,Grimari,,Grimari,,,20.069115,5.709005,2015,Mars
306076340,20.03.2015,08.03.2015,12.03.2015,ACTED,Andjikapa,,ACTED_AND_20150308,1,41,204,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Basse-Kotto,,Zangba,,,,,20.750833,4.744444,2015,Mars
1995219427,25.03.2015,12.03.2015,18.03.2015,PU-AMI,Dédé Makbouba,,PU_DED_20150312,1,35,,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Mambere-Kadei,,Dede-Mokouba,,,,,15.242819,3.916667,2015,Mars
441603790,26.03.2015,12.03.2015,12.03.2015,ACTED,Goussoubanda,,ACTED_GOU_20150312,,85,410,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Ouaka,,Bambari,,Pladama-Ouaka,,,20.559548,5.895595,2015,Mars
1140931710,26.03.2015,12.03.2015,12.03.2015,ACTED,Togo,,ACTED_TOG_20150312,,203,1016,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Ouaka,,Bambari,,Pladama-Ouaka,,,20.572740,5.880615,2015,Mars
770517945,20.04.2015,13.03.2015,13.03.2015,PU-AMI,Boy bale,,PU_MBA_20150313,6,,,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,,Mambere-Kadei,,Gadzi,,Mbali,,,16.757124,5.225732,2015,Mars
312457049,04.04.2015,17.03.2015,17.03.2015,ACTED,Dembia,,ACTED_DEM_20150317,7,800,4000,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Mbomou,,Rafai,,Rafai,,,24.463914,5.102711,2015,Mars
1734879610,25.03.2015,18.03.2015,18.03.2015,PU-AMI,Mbandjifolo,,PU_MBA_20150318,2,35,,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Mambere-Kadei,,Dede-Mokouba,,,,,15.255556,4.075833,2015,Mars
1404871050,31.03.2015,19.03.2015,19.03.2015,ACTED,Goussiéma,,ACTED_GOU_20150319,,520,2600,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Ouaka,,Kouango,,Kouango,,,20.126750,5.395833,2015,Mars
1507015003,30.03.2015,20.03.2015,24.04.2015,SI,Ndenga,,SI_NDE_20150320,8,1351,,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,,Nana-Gribizi,,Kaga-Bandoro,,Ndenga,,,19.260450,6.759629,2015,Mars
86995938,20.04.2015,20.03.2015,20.03.2015,PU-AMI,Bamingui,,PU_BAM_20150320,4,,709,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Bamingui-Bangoran,,Bamingui,,Vassako,,,20.179799,7.530107,2015,Mars
250179817,20.04.2015,20.03.2015,20.03.2015,PU-AMI,Tiri,,PU_TIR_20150320,1,85,400,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Bamingui-Bangoran,,Ndele,,Dar El Kouti,,,20.399447,8.599117,2015,Mars
714511003,20.04.2015,20.03.2015,20.03.2015,PU-AMI,Golongosso,,PU_GOL_20150320,1,,400,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Bamingui-Bangoran,,Ndele,,Dar El Kouti,,,19.185650,8.924383,2015,Mars
2054929376,20.04.2015,20.03.2015,20.03.2015,PU-AMI,Miamani,,PU_MIA_20150320,1,,100,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,,Bamingui-Bangoran,,Ndele,,Dar El Kouti,,,20.000353,8.754661,2015,Mars
318370307,03.04.2015,25.03.2015,25.03.2015,ACF,Kouki,,ACF_KOU_20150325,1,1400,7000,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,,Ouham,,Nana-Bakassa,,Nana-Bakassa,,,17.309082,7.166343,2015,Mars
